Recombinant Node ID	Breakpoint Interval 1	Breakpoint Interval 2	Recombinant Ranking	Donor Node ID	Donor Clade	Donor Lineage	Acceptor Node ID	Acceptor Clade	Acceptor Lineage
node_177403	(3984,3984)	(16466,19380)	3.8	node_1004356	21A (Delta)	B.1.617.2	node_177120	21J (Delta)	AY.122.5
node_1795839	(22599,22673)	(25000,29903)	3.16667	node_1801916	22C (Omicron)	BA.2.12.1	node_1795804	22C (Omicron)	BG.1
node_1805330	(21137,22786)	(28881,29903)	1.72727	node_1793127	22C (Omicron)	BA.2.12.1	node_1788819	22C (Omicron)	BA.2.12.1
node_1805559	(19689,22688)	(25584,25854)	2.375	node_1793129	22C (Omicron)	BA.2.12.1	node_1786885	22C (Omicron)	BA.2.12.1
node_1805569	(22917,23673)	(26858,29903)	3.16667	node_1775284	22C (Omicron)	BA.2.12.1	node_1805661	22C (Omicron)	BA.2.12.1
node_1805685	(22674,22688)	(23854,29903)	1.58333	node_1836890	21M (Omicron)	BA.2.10	node_1805664	22C (Omicron)	BA.2.12.1
node_1806010	(23604,25416)	(27807,29903)	2.71429	node_1805813	22C (Omicron)	BA.2.12.1	node_1806002	22C (Omicron)	BA.2.12.1
node_1806063	(12160,21618)	(22882,23018)	1.35714	node_1459078	22A (Omicron)	BA.4	node_1364327	21M (Omicron)	BA.2
node_1806075	(16728,22200)	(27945,29903)	3.8	node_1806074	22C (Omicron)	BA.2.12.1	node_1773011	22C (Omicron)	BA.2.12.1
node_1806182	(10029,11674)	(27259,27382)	0.612903	node_1806176	22C (Omicron)	BA.2.12.1	node_1572395	21M (Omicron)	BA.2.9
node_1806208	(16092,22882)	(25416,25521)	2.11111	node_1806207	22C (Omicron)	BA.2.12.1	node_1806078	22C (Omicron)	BA.2.12.1
node_1806246	(22200,22882)	(28881,29903)	0.123377	node_1683799	22B (Omicron)	BA.5.1.1	node_1459101	22A (Omicron)	BA.4
node_1806248	(4321,12880)	(21618,22992)	3.8	node_1683829	22B (Omicron)	BA.5.1.1	node_1727798	22B (Omicron)	BA.5.2.1
node_1806831	(21617,22688)	(27259,27661)	2.71429	node_1785542	22C (Omicron)	BA.2.12.1	node_1813429	22C (Omicron)	BA.2.12.1
node_1806977	(3403,4321)	(27259,28674)	1	node_1806725	22C (Omicron)	BA.2.12.1	node_1776105	22C (Omicron)	BA.2.12.1
node_1806991	(1616,9424)	(28881,29221)	3.16667	node_1806840	22C (Omicron)	BA.2.12.1	node_1799117	22C (Omicron)	BA.2.12.1
node_1807032	(3787,4321)	(27259,29668)	1.58333	node_1807028	22C (Omicron)	BA.2.12.1	node_1777244	22C (Omicron)	BA.2.12.1
node_1807064	(22674,22688)	(27807,29903)	3.16667	node_1805584	22C (Omicron)	BA.2.12.1	node_1796583	22C (Omicron)	BA.2.12.1
node_183092	(10787,13434)	(18423,20937)	1.35714	node_135578	21J (Delta)	AY.122	node_183085	21J (Delta)	AY.122
node_1836887	(20055,22813)	(23673,26577)	3.8	node_1771156	22C (Omicron)	BA.2.12.1	node_1836886	21M (Omicron)	BA.2.10
node_1839378	(17410,21846)	(27259,27382)	3.8	node_1629505	21L (Omicron)	BA.2	node_1839215	21M (Omicron)	B.1.1.529
node_184465	(241,1181)	(27527,29736)	0.863636	node_184464	21J (Delta)	AY.122	node_136369	21J (Delta)	AY.122
node_184796	(10521,18129)	(22917,27527)	0.034358	node_672035	21J (Delta)	AY.119	node_137163	21J (Delta)	AY.122
node_1860458	(18163,21846)	(28057,29903)	1.9	node_1860450	21K (Omicron)	BA.1	node_2095113	21K (Omicron)	BA.1.1
node_1864216	(23048,23075)	(27384,29903)	0.413043	node_1358658	21M (Omicron)	BA.2	node_1864197	21K (Omicron)	BA.1
node_1864544	(9448,16064)	(23048,26929)	3.8	node_1864538	21K (Omicron)	BA.1	node_1984345	21K (Omicron)	BA.1.1.1
node_1864690	(21595,22599)	(27259,28881)	3.16667	node_1864641	21K (Omicron)	BA.1	node_1841672	21K (Omicron)	BA.1
node_1875413	(0,2470)	(14676,21306)	3.16667	node_2049544	21K (Omicron)	BA.1.1	node_1877317	21K (Omicron)	BA.1.15
node_1875746	(23525,23604)	(28461,28882)	1.9	node_1870120	21K (Omicron)	BA.1.15	node_1875745	21K (Omicron)	BA.1.15
node_188623	(12718,13434)	(18423,18675)	3.16667	node_135574	21J (Delta)	AY.122	node_188566	21J (Delta)	AY.7.1
node_1898480	(2470,10135)	(22673,25514)	1.9	node_1875068	21K (Omicron)	BA.1.15	node_2045115	21K (Omicron)	BA.1.1
node_1902881	(7981,11950)	(26709,27804)	3.16667	node_1868271	21K (Omicron)	BA.1	node_1902880	21K (Omicron)	BA.1.20
node_19049	(9319,9344)	(22191,22882)	3.8	node_10007	20A	B.1	node_19047	20A	B.1
node_1914003	(15240,21294)	(22599,22992)	0.0201913	node_2026682	21K (Omicron)	BA.1.1	node_1851036	21K (Omicron)	BA.1
node_1931159	(22599,23854)	(28311,29903)	2.71429	node_2138113	21K (Omicron)	BA.1.17	node_1931158	21K (Omicron)	BA.1.1.11
node_1936447	(22223,22225)	(23403,28067)	3.16667	node_1936591	21K (Omicron)	BA.1.1	node_1936426	21K (Omicron)	BA.1.1
node_1942879	(23948,24130)	(27505,29903)	3.16667	node_1942878	21K (Omicron)	BA.1.1	node_1849563	21K (Omicron)	BA.1
node_202645	(0,1613)	(16726,26034)	1.9	node_216562	21J (Delta)	AY.44	node_399193	21J (Delta)	AY.25.1
node_2027266	(16064,22898)	(25000,27509)	1.58333	node_1854322	21K (Omicron)	BA.1	node_1945591	21K (Omicron)	BA.1.1.8
node_2053650	(12781,15483)	(26270,29301)	1.72727	node_1970668	21K (Omicron)	BA.1.1	node_1877368	21K (Omicron)	BA.1.15
node_2122605	(15240,19209)	(22679,23664)	0.0135039	node_1900049	21K (Omicron)	BA.1.20	node_1860138	21K (Omicron)	BA.1
node_2130818	(3873,5924)	(26270,29903)	3.8	node_2127572	21K (Omicron)	BA.1.17.2	node_1943134	21K (Omicron)	BA.1.1
node_2135999	(21137,22578)	(28482,29903)	2.375	node_2135616	21K (Omicron)	BA.1.17	node_2135998	21K (Omicron)	BA.1.17
node_214769	(25469,27985)	(29733,29903)	2.375	node_545053	21J (Delta)	AY.100	node_214764	21J (Delta)	AY.44
node_2154875	(15288,20042)	(25376,29632)	3.16667	node_2154872	21K (Omicron)	BA.1	node_2155437	21K (Omicron)	BA.1
node_2175075	(2470,6317)	(11687,23040)	3.16667	node_2066253	21K (Omicron)	BA.1.1.2	node_2174897	21K (Omicron)	BA.1
node_2175523	(10811,12641)	(21762,22599)	0.633333	node_2116498	21K (Omicron)	BA.1.17.2	node_2174009	21K (Omicron)	BA.1
node_2180290	(2244,3330)	(16389,18981)	2.11111	node_2182103	20B	B.1.1	node_2180224	20B	B.1.1
node_2181607	(21839,23403)	(28881,29903)	1.46827e-05	node_2450129	20B	B.1.1	node_1087207	20A	B.1
node_2181867	(23709,24506)	(27972,29903)	3.8	node_1149688	21F (Iota)	B.1.526	node_2181866	20B	B.1.1
node_2181909	(6954,14676)	(28280,28881)	2.11111	node_2181825	20B	B.1.1	node_2204954	20I (Alpha,V1)	B.1.1.7
node_2181943	(0,5581)	(24138,25413)	1.1875	node_1137557	20C	B.1.637	node_2181942	20B	B.1.1
node_2182017	(0,174)	(21801,23604)	1.35714	node_1007938	20A	B.1	node_2182016	20B	B.1.1
node_2182020	(0,174)	(22206,22813)	3.8	node_1166544	20H (Beta,V2)	B.1.351	node_2181971	20B	B.1.1
node_2182082	(10029,11418)	(15451,16466)	2.375	node_1004140	21A (Delta)	B.1.617.2	node_2182081	20B	B.1.1
